id;behavioral/mechanistic;Syntactic_phenomena;Notes_exclude;exclude;model;causal, bidir;language;language_tested;Avg. Performance;Benchmarks;Benchmarks;Dependency parsing & constituency;Dependency parsing & constituency;Dependency parsing & constituency;Dependency parsing & constituency;Hierarchical structure;Hierarchical structure;Hierarchical structure;Hierarchical structure;Word order;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;Agreement & feature-checking;POS & other lexical properties;POS & other lexical properties;Negation & NPIs;Negation & NPIs;Binding & coreference;Binding & coreference;Binding & coreference;Ellipsis & filler–gap dependencies;Ellipsis & filler–gap dependencies;Ellipsis & filler–gap dependencies;Typology;Argument structure & constructions;Argument structure & constructions;Argument structure & constructions;Argument structure & constructions;notes;
611;mechanistic;Agreement and feature-checking;no accuracy behavioral;1;GPT-2, LSTM;causal;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;mechanistic;POS, Dependency parsing and constituency;;;BERT;bidir;['monoling-english'];English;;;;0.92;;;;;;;;;;;;;;;;;;;0.96;;;;;;;;;;;;;;;;
20;mechanistic;;;;XLNet;bidir;['monoling-english'];English;;;;0.93;;;;;;;;;;;;;;;;;;;0.96;;;;;;;;;;;;;;;;
68;mechanistic;POS, Dependency parsing and constituency, Binding and coreference;no accuracy behavioral;1;MultiBert [Sellam et al. (2022)];bidir;['monoling-english'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;mechanistic;Agreement and feature-checking;;;mBERT-BASE (cased);bidir;['english', 'french', 'german', 'hebrew', 'russian'];English;;;;;;;;;;;;;0.77;0.95;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
103;mechanistic;;;;mBERT-BASE (cased);bidir;['english', 'french', 'german', 'hebrew', 'russian'];French;;;;;;;;;;;;;0.9;0.97;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
103;mechanistic;;;;mBERT-BASE (cased);bidir;['english', 'french', 'german', 'hebrew', 'russian'];German;;;;;;;;;;;;;0.8;0.9;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
103;mechanistic;;;;mBERT-BASE (cased);bidir;['english', 'french', 'german', 'hebrew', 'russian'];Hebrew;;;;;;;;;;;;;0.78;0.8;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
103;mechanistic;;;;XLM-R BASE;bidir;['english', 'french', 'german', 'hebrew', 'russian'];Russian;;;;;;;;;;;;;0.6;0.96;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
103;mechanistic;;;;XLM-R BASE;bidir;['english', 'french', 'german', 'hebrew', 'russian'];English;;;;;;;;;;;;;0.75;0.97;;;;;;;;;;;;;;;;;;;;;;;;Figure 2;
